PassengerId,Male,Pclass,Fare,FarePerPerson,Title,AgeUsingMeanTitle,AgeClass,SexClass,FamilySize,AgeSquared,AgeClassSquared,Survived
1,1,3,7.25,3.625,3,22.0,66.0,3,1,484.0,4356.0,0
2,0,1,71.2833,35.64165,3,38.0,38.0,0,1,1444.0,1444.0,1
3,0,3,7.925,7.925,3,26.0,78.0,0,0,676.0,6084.0,1
4,0,1,53.1,26.55,3,35.0,35.0,0,1,1225.0,1225.0,1
5,1,3,8.05,8.05,3,35.0,105.0,3,0,1225.0,11025.0,0
6,1,3,8.4583,8.4583,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
7,1,1,51.8625,51.8625,3,54.0,54.0,1,0,2916.0,2916.0,0
8,1,3,21.075,4.215,3,2.0,6.0,3,4,4.0,36.0,0
9,0,3,11.1333,3.7111,3,27.0,81.0,0,2,729.0,6561.0,1
10,0,2,30.0708,15.0354,3,14.0,28.0,0,1,196.0,784.0,1
11,0,3,16.7,5.566666666666666,3,4.0,12.0,0,2,16.0,144.0,1
12,0,1,26.55,26.55,3,58.0,58.0,0,0,3364.0,3364.0,1
13,1,3,8.05,8.05,3,20.0,60.0,3,0,400.0,3600.0,0
14,1,3,31.275,4.4678571428571425,3,39.0,117.0,3,6,1521.0,13689.0,0
15,0,3,7.8542,7.8542,3,14.0,42.0,0,0,196.0,1764.0,0
16,0,2,16.0,16.0,3,55.0,110.0,0,0,3025.0,12100.0,1
17,1,3,29.125,4.854166666666667,3,2.0,6.0,3,5,4.0,36.0,0
18,1,2,13.0,13.0,3,30.58522796352584,61.17045592705168,2,0,935.4561695808429,3741.8246783233717,1
19,0,3,18.0,9.0,3,31.0,93.0,0,1,961.0,8649.0,0
20,0,3,7.225,7.225,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
21,1,2,26.0,26.0,3,35.0,70.0,2,0,1225.0,4900.0,0
22,1,2,13.0,13.0,3,34.0,68.0,2,0,1156.0,4624.0,1
23,0,3,8.0292,8.0292,3,15.0,45.0,0,0,225.0,2025.0,1
24,1,1,35.5,35.5,3,28.0,28.0,1,0,784.0,784.0,1
25,0,3,21.075,4.215,3,8.0,24.0,0,4,64.0,576.0,0
26,0,3,31.3875,4.483928571428572,3,38.0,114.0,0,6,1444.0,12996.0,1
27,1,3,7.225,7.225,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
28,1,1,263.0,43.833333333333336,3,19.0,19.0,1,5,361.0,361.0,0
29,0,3,7.8792,7.8792,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
30,1,3,7.8958,7.8958,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
31,1,1,27.7208,27.7208,0,40.0,40.0,1,0,1600.0,1600.0,0
32,0,1,146.5208,73.2604,3,28.68708762886598,28.68708762886598,0,1,822.9489966262356,822.9489966262356,1
33,0,3,7.75,7.75,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
34,1,2,10.5,10.5,3,66.0,132.0,2,0,4356.0,17424.0,0
35,1,1,82.1708,41.0854,3,28.0,28.0,1,1,784.0,784.0,0
36,1,1,52.0,26.0,3,42.0,42.0,1,1,1764.0,1764.0,0
37,1,3,7.2292,7.2292,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,1
38,1,3,8.05,8.05,3,21.0,63.0,3,0,441.0,3969.0,0
39,0,3,18.0,6.0,3,18.0,54.0,0,2,324.0,2916.0,0
40,0,3,11.2417,5.62085,3,14.0,42.0,0,1,196.0,1764.0,1
41,0,3,9.475,4.7375,3,40.0,120.0,0,1,1600.0,14400.0,0
42,0,2,21.0,10.5,3,27.0,54.0,0,1,729.0,2916.0,0
43,1,3,7.8958,7.8958,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
44,0,2,41.5792,10.3948,3,3.0,6.0,0,3,9.0,36.0,1
45,0,3,7.8792,7.8792,3,19.0,57.0,0,0,361.0,3249.0,1
46,1,3,8.05,8.05,3,30.58522796352584,91.75568389057752,3,0,935.4561695808429,8419.105526227586,0
47,1,3,15.5,7.75,3,30.58522796352584,91.75568389057752,3,1,935.4561695808429,8419.105526227586,0
48,0,3,7.75,7.75,3,28.68708762886598,86.06126288659794,0,0,822.9489966262356,7406.540969636121,1
49,1,3,21.6792,7.226400000000001,3,30.58522796352584,91.75568389057752,3,2,935.4561695808429,8419.105526227586,0
50,0,3,17.8,8.9,3,18.0,54.0,0,1,324.0,2916.0,0
51,1,3,39.6875,6.614583333333333,3,7.0,21.0,3,5,49.0,441.0,0
52,1,3,7.8,7.8,3,21.0,63.0,3,0,441.0,3969.0,0
53,0,1,76.7292,38.3646,3,49.0,49.0,0,1,2401.0,2401.0,1
54,0,2,26.0,13.0,3,29.0,58.0,0,1,841.0,3364.0,1
55,1,1,61.9792,30.9896,3,65.0,65.0,1,1,4225.0,4225.0,0
56,1,1,35.5,35.5,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,1
57,0,2,10.5,10.5,3,21.0,42.0,0,0,441.0,1764.0,1
58,1,3,7.2292,7.2292,3,28.5,85.5,3,0,812.25,7310.25,0
59,0,2,27.75,6.9375,3,5.0,10.0,0,3,25.0,100.0,1
60,1,3,46.9,5.8625,3,11.0,33.0,3,7,121.0,1089.0,0
61,1,3,7.2292,7.2292,3,22.0,66.0,3,0,484.0,4356.0,0
62,0,1,80.0,80.0,3,38.0,38.0,0,0,1444.0,1444.0,1
63,1,1,83.475,41.7375,3,45.0,45.0,1,1,2025.0,2025.0,0
64,1,3,27.9,4.6499999999999995,3,4.0,12.0,3,5,16.0,144.0,0
65,1,1,27.7208,27.7208,3,30.58522796352584,30.58522796352584,1,0,935.4561695808429,935.4561695808429,0
66,1,3,15.2458,5.081933333333333,3,30.58522796352584,91.75568389057752,3,2,935.4561695808429,8419.105526227586,1
67,0,2,10.5,10.5,3,29.0,58.0,0,0,841.0,3364.0,1
68,1,3,8.1583,8.1583,3,19.0,57.0,3,0,361.0,3249.0,0
69,0,3,7.925,1.1321428571428571,3,17.0,51.0,0,6,289.0,2601.0,1
